Paired hydraulic modeling site,ARU ID,UTM E,UTM N,Reach
SC1,SYC6,402226,3859619,Sycamore Creek
SC1,SYC7,402262,3839075,Sycamore Creek
SC1,SYC8,401792,3858581,Sycamore Creek
RR1,WFOC1,431895,3871921,West Fork of Oak Creek
RR1,WFOC2,431889,3871929,West Fork of Oak Creek
RR3,WFOC3,429708,3873369,West Fork of Oak Creek
WB1,WB1,438492,3837116,Wet Beaver Creek
WB1,WB2,438750,3837025,Wet Beaver Creek
WB2-Wet,WB5,447224,3838556,Wet Beaver Creek
WB1,WB7,439545,3837206,Wet Beaver Creek
WCC3,WCC4,456351,3824371,West Clear Creek
WCC4,WCC6,462386,3873847,West Clear Creek
MM1,MM1,432946,3846742,Dry Beaver Creek
MM1,MM2,435095,3847544,Dry Beaver Creek
